ST	clonal_complex	phylogroup	phylogroup_consistency	n_genomes	n_pks_pos	pks_fraction	n_clbS_pos
1	NA	NA	NA	2	0	0.0000	0
2	NA	NA	NA	33	0	0.0000	2
3	ST20_Cplx	B1	1.000	31	0	0.0000	0
4	ST10_Cplx	A	1.000	13	0	0.0000	0
5	ST13_Cplx	NA	NA	1	0	0.0000	0
6	NA	A	1.000	72	0	0.0000	0
7	NA	B1	1.000	3	0	0.0000	0
10	ST10_Cplx	A	1.000	4571	12	0.0026	16
11	ST11_Cplx	E	1.000	2150	1	0.0005	1
12	ST12_Cplx	B2	1.000	521	485	0.9309	501
13	ST13_Cplx	NA	NA	56	0	0.0000	0
14	ST14_Cplx	B2	1.000	111	72	0.6486	72
15	NA	B2	1.000	16	0	0.0000	0
16	ST29_Cplx	B1	1.000	1276	0	0.0000	0
17	ST20_Cplx	B1	1.000	885	0	0.0000	0
19	NA	B2	1.000	10	0	0.0000	0
20	ST20_Cplx	B1	1.000	41	0	0.0000	0
21	ST29_Cplx	B1	1.000	1362	0	0.0000	0
23	ST23_Cplx	A	1.000	134	0	0.0000	0
25	NA	B1	1.000	104	0	0.0000	0
26	NA	NA	NA	27	0	0.0000	0
28	ST28_Cplx	B2	1.000	74	0	0.0000	0
29	ST29_Cplx	B1	1.000	244	0	0.0000	0
31	ST31_Cplx	D	1.000	35	0	0.0000	0
32	ST32_Cplx	E	1.000	555	0	0.0000	0
33	NA	B1	1.000	245	0	0.0000	0
34	ST10_Cplx	A	1.000	132	0	0.0000	0
35	NA	NA	NA	5	0	0.0000	0
38	ST38_Cplx	D	1.000	566	0	0.0000	1
39	NA	NA	NA	3	0	0.0000	0
40	ST40_Cplx	B1	1.000	68	0	0.0000	0
42	NA	NA	NA	5	0	0.0000	0
43	ST10_Cplx	A	1.000	50	0	0.0000	0
44	ST10_Cplx	A	1.000	22	0	0.0000	0
46	ST46_Cplx	A	1.000	62	0	0.0000	0
47	NA	NA	NA	1	0	0.0000	0
48	ST10_Cplx	A	1.000	246	0	0.0000	0
49	ST10_Cplx	NA	NA	4	0	0.0000	0
50	NA	NA	NA	2	0	0.0000	0
52	NA	NA	NA	5	0	0.0000	0
53	NA	NA	NA	5	0	0.0000	0
54	NA	NA	NA	7	0	0.0000	0
55	ST155_Cplx	NA	NA	4	0	0.0000	0
56	ST155_Cplx	NA	NA	48	0	0.0000	0
57	ST350_Cplx	B2	1.000	49	0	0.0000	1
58	ST155_Cplx	B1	1.000	360	0	0.0000	0
59	ST59_Cplx	F	1.000	195	0	0.0000	0
61	ST11_Cplx	E	1.000	2	0	0.0000	0
62	NA	F	1.000	93	0	0.0000	0
64	NA	NA	NA	4	0	0.0000	0
67	NA	NA	NA	4	0	0.0000	0
68	NA	D	1.000	20	0	0.0000	0
69	ST69_Cplx	D	1.000	632	1	0.0016	1
70	NA	NA	NA	34	0	0.0000	0
72	ST405_Cplx	NA	NA	7	0	0.0000	0
73	ST73_Cplx	B2	1.000	1674	1618	0.9665	1656
74	ST73_Cplx	B2	1.000	4	4	1.0000	4
75	NA	NA	NA	24	0	0.0000	0
77	ST206_Cplx	NA	NA	1	0	0.0000	0
79	NA	B2	1.000	8	0	0.0000	0
80	ST568_Cplx	B2	1.000	119	111	0.9328	115
83	NA	B2	1.000	20	14	0.7000	14
84	NA	NA	NA	4	0	0.0000	0
85	NA	NA	NA	4	0	0.0000	0
86	ST86_Cplx	B1	1.000	13	0	0.0000	0
88	ST23_Cplx	A	1.000	188	1	0.0053	1
90	ST23_Cplx	A	1.000	19	0	0.0000	0
91	NA	B2	1.000	33	0	0.0000	0
93	ST168_Cplx	A	1.000	1583	0	0.0000	0
94	ST448_Cplx	B1	1.000	12	0	0.0000	0
95	ST95_Cplx	B2	1.000	1252	823	0.6573	827
96	NA	A	1.000	12	0	0.0000	0
99	NA	NA	NA	20	0	0.0000	0
100	ST165_Cplx	NA	NA	12	0	0.0000	0
101	ST101_Cplx	B1	1.000	229	0	0.0000	0
104	ST73_Cplx	B2	1.000	25	17	0.6800	18
105	NA	NA	NA	2	0	0.0000	0
106	ST69_Cplx	D	1.000	23	0	0.0000	0
108	NA	NA	NA	14	0	0.0000	0
109	NA	NA	NA	26	2	0.0769	2
111	NA	NA	NA	12	1	0.0833	1
115	ST38_Cplx	F	1.000	16	0	0.0000	0
117	NA	F	1.000	297	0	0.0000	0
118	NA	NA	NA	7	0	0.0000	0
119	NA	NA	NA	68	0	0.0000	0
120	NA	NA	NA	5	0	0.0000	0
121	ST28_Cplx	B2	1.000	28	0	0.0000	0
